"ISO3","GDP_USD_Mean","Population_Mean","Health_Exp_Percent_Mean","Polity_Score_Mean","Inactivity_Adolescents_Mean","GDP_per_Capita_Mean","Health_Exp_USD_Mean","Log_Pop_Mean","Log_GDP_Cap_Mean","Is_Host_2024"
"PYF",5890796960.87291,279515.545454545,NA,NA,NA,21091.2985326599,NA,12.5408003614588,9.95513199335955,0
"QAT",184667323159.341,2564442.81818182,3.09554685444444,-10,88.1033333333333,72349.9276000033,2139.34832466508,14.7544434861689,11.1756817231485,0
"ROU",257881921518.493,19402347.7272727,5.54634242666667,9,79.5966666666667,13339.9323287226,677.041950301814,16.7807831149707,9.46590476278993,0
"RUS",1771215411473.33,144693352.727273,6.00743394444444,4,84.46,12248.548166705,706.763418781241,18.7901177723372,9.39553827026167,0
"RWA",10715521542.132,12788480.5454545,6.95052152111111,-3,NA,830.818716212074,55.1540018105467,16.3614931494828,6.71428538702308,0
"SAS",3319710618289.23,1602113887.63636,3.22143842458945,NA,NA,2061.22368928048,62.1210242898125,21.1941085225084,7.61553429868655,0
"SAU",921124533333.333,31257492.3636364,5.70022853333333,-10,NA,29288.1280882459,1567.41183976095,17.2560905711056,10.2684310663628,0
"SDN",41142585505.282,45211997.5454545,4.73153609555556,-4,90.2366666666667,921.026968948311,46.0426772541662,17.6230400537515,6.79524854390739,0
"SEN",24266164370.2286,16342102,4.41907231111111,7,88.47,1472.64768348466,62.6727185666117,16.6056784653056,7.28896864630476,0
"SGP",398824443704.891,5663400.90909091,4.53031105444444,-2,76.62,70194.3152991045,3027.26355815114,15.5491016300322,11.1422866160413,0
"SLB",1524941775.77561,722634.545454545,4.55577111111111,8,83.7366666666667,2111.78191622274,95.9704397479441,13.4867595749488,7.6544921091229,0
"SLE",6743336188.04922,7742883.81818182,11.9758925966667,7,NA,874.553531107521,109.617627426416,15.8596503509922,6.76858411557616,0
"SLV",27559788181.8182,6238334.54545455,8.94938415888889,8,86.0933333333333,4412.81728212619,375.760021300156,15.6461906946816,8.38256068069175,0
"SMR",1621519203.4524,33843.3636363636,8.13803450333333,NA,NA,47932.9695083176,3887.50760144959,10.4292970440854,10.7740829376115,0
"SOM",8548768088.18192,16089778.7272727,2.47421421,5,NA,524.652078095092,12.4378866170725,16.5873462978706,6.25594292642857,0
"SRB",58592719089.2393,6894770.45454545,8.92256196444444,8,NA,8560.03073228022,683.62461619542,15.7459124895508,9.01770431018334,0
"SSA",1718405973180.44,1025127110.72727,5.03004321871869,NA,NA,1682.03079376833,85.8483624921088,20.7447939156476,7.42443001513736,0
"SSD",12980006803.8409,10908223.3636364,9.56440703,0,NA,1161.44084402899,NA,16.203932653807,7.05496103420466,0
"SSF",1814092402485.66,1141317050.54545,4.94708782570473,NA,NA,1593.69005278756,79.869261787372,20.8521310551655,7.37103927759131,0
"SST",234910564479.573,19267540.4545455,6.64980938789168,NA,NA,12150.5589917973,771.37913852174,16.7734188247914,9.3975432977382,0
"STP",449434005.553347,214854.909090909,7.06212780222222,NA,NA,2058.60470663207,129.419286440626,12.2761276796427,7.58819821032984,0
"SUR",3933539293.1681,605495,6.10192066,5,81.5066666666667,6518.67261021974,394.163980837946,13.3133217139717,8.7617834969759,0
"SVK",109956594779.438,5436366.63636364,7.07716348444444,10,71.68,20227.0935367899,1355.13547763562,15.5086186130817,9.90441515143344,0
"SVN",55340184697.9767,2089870.81818182,8.835755539,10,79.9933333333333,26437.8374340724,2281.67854025436,14.5525489459242,10.1709154825006,0
"SWE",561004585892.166,10208428.6363636,10.898311043,10,84.5966666666667,54933.9874198331,5957.69222823655,16.1383194639798,10.912253359746,0
"SWZ",4435308499.61707,1184289.45454545,7.27974526,-7,NA,3741.96230890323,271.43913415071,13.9842176706664,8.22518102679346,0
"SXM",1428780500.11108,40209.2727272727,NA,NA,NA,35530.5155152899,NA,10.6004884894352,10.474727537974,0
"SYC",1723596426.10056,102582.727272727,4.73992670888889,NA,82.7466666666667,16739.3630977402,773.76564183942,11.5329043693686,9.72096087380903,0
"SYR",18103467548.4084,21041452.9090909,3.93663742888889,-9,87.4566666666667,875.879363412462,34.6059451169088,16.8585789654744,6.75035846837932,0
"TCA",1227068181.81818,42074.2727272727,NA,NA,NA,28908.6819775749,NA,10.6427638531685,10.2577780929147,0
"TCD",16243502375.7631,16867447.4545455,3.73822270333333,-1,NA,965.050609395922,35.5895177254273,16.6347937337228,6.86601909664199,0
"TEA",17653160535736.7,2076815823.72727,4.95646377642111,NA,NA,8477.68725015603,402.145091688336,21.4539764700691,9.02932107176219,0
"TEC",4493288934768.46,458986617,5.70824506566882,NA,NA,9787.35331572307,523.725610849219,19.94449995761,9.17407562526965,0
"TGO",7421670107.13184,8475484.54545454,6.01121425555556,-2,NA,870.014965021291,50.2276846801482,15.9497600470658,6.76375121713605,0
"THA",479428014194.076,71286375.5454545,4.20593185,-3,77.7666666666667,6721.33041910646,278.975738289409,18.0821905919146,8.80827592849615,0
"TJK",9292064402.95125,9521584.90909091,7.36071104333333,-3,NA,969.532745609973,66.5045316799035,16.0664380964768,6.86314380863306,0
"TKM",47189463842.3315,6795337,5.35835796,-8,NA,6892.41881006418,350.336596342797,15.7295097037506,8.82794529406789,0
"TLA",5707621567897.15,623709428.636364,7.89211138197414,NA,NA,9145.69223042152,693.05624917602,20.2508804780259,9.11434422694069,0
"TLS",2073544067.51957,1297669.45454545,8.55792845666667,8,89.34,1584.77316887839,149.836761122923,14.0745534439248,7.33324992274801,0
"TMN",1889550678933.28,676725838.181818,5.17998200607046,NA,NA,2793.71175661578,144.053789944537,20.331298005881,7.93317804953074,0
"TON",478524022.833216,105438.909090909,5.90026622444444,NA,85.7866666666667,4534.00225315907,268.427404005556,11.5658689122705,8.41656757632712,0
"TSA",3319710618289.23,1602113887.63636,3.22143842458945,NA,NA,2061.22368928048,62.1210242898125,21.1941085225084,7.61553429868655,0
"TSS",1814092402485.66,1141317050.54545,4.94708782570473,NA,NA,1593.69005278756,79.869261787372,20.8521310551655,7.37103927759131,0
"TTO",25169243776.6799,1360422.45454545,6.41943878777778,9,82.2133333333333,18505.3647189942,1168.88186255059,14.1232899150414,9.82125640649133,0
"TUN",45753373826.3576,11828715.6363636,6.44996298555556,7,81.5833333333333,3869.35697000113,245.599128528337,16.2856778548579,8.25797869276127,0
"TUR",905520703048.51,82030382.1818182,4.25194790666667,-1.2,81.3466666666667,11027.3171488173,436.969028034229,18.2220055667102,9.29486837311222,0
"TUV",49790633.0455725,10465.9090909091,18.6277021844444,NA,87.1,4757.96016154443,865.663093615035,9.25487356196644,8.44476736541219,0
"TZA",62619726741.4702,59286746.0909091,3.74389709333333,2.2,82.2366666666667,1047.7137946322,37.9810274892534,17.8931659264157,6.95020701977553,0
"UGA",38122222775.1362,43074680.6363636,4.69596905222222,-1,85.6966666666667,877.98995393509,39.6935082639573,17.5732304429092,6.77184977777244,0
"UKR",145917384895.03,43508817.3636364,7.54363542875,4,76.78,3411.43346482975,224.661016971616,17.5859888271406,8.08825316011783,0
"UMC",24624137856318.6,2757215042.54545,5.65988246011908,NA,NA,8911.00371553805,481.151925980869,21.7373235141341,9.08546436024579,0
"URY",64825083979.0879,3385914.27272727,8.74705992666667,10,82.2966666666667,19144.7558721519,1591.15001051851,15.0351275077777,9.85223926657089,0
"USA",22224039818181.8,329582041.272727,16.9235816544444,8,72.2933333333333,67255.925007551,10761.5836550481,19.6131693317093,11.1054257288481,0
"UZB",81850829553.3022,33108860.5454545,5.66077449666667,-9,NA,2466.61297425085,131.718427705438,17.3136017042878,7.79621988450245,0
"VCT",907498989.89899,104177.454545455,4.44607914666667,NA,85.8133333333333,8736.89666973211,367.313127196505,11.553624212049,9.0650386607284,0
"VEN",482359318767.703,29318736.4545455,3.47427931,1.2,88.72,15943.6127197163,NA,17.1931316070866,9.67681357156478,0
"VIR",4030222222.22222,106448,NA,NA,NA,37746.540138494,NA,11.5753559189839,10.5340717751749,0
"VNM",335673889794.847,96829622.0909091,4.74687083333333,-7,86.3566666666667,3445.9005104948,151.804833207679,18.3879873263832,8.12476494461047,0
"VUT",934457356.318218,292739.727272727,3.74228943777778,NA,87.4866666666667,3178.47001045644,116.034076875027,12.5843506771143,8.06202989111241,0
"WLD",90517638897174.9,7762635590.63636,9.91405945088398,NA,NA,11627.5267577049,1113.11629997409,22.7720795540114,9.3562645016287,0
"WSM",881180362.634871,209432.818181818,5.88875103,NA,87.03,4204.65312353886,241.511737775039,12.2517562740947,8.34201785295319,0
"XKX",8283132453.32132,1755449.45454545,NA,NA,NA,4762.27092275091,NA,14.3771500008851,8.44424627306115,0
"YEM",33087858075.3696,35204921.9090909,5.33693038222222,0,86.3233333333333,1042.55012231154,49.4350795672171,17.3724097480704,6.90310627702107,0
"ZAF",379479570395.699,59734267.1818182,8.30756574111111,9,NA,6355.4330657979,531.429915731451,17.9044090988896,8.75451900310976,0
"ZMB",24376920452.0287,18544765.0909091,5.24835883222222,6.4,89.2166666666667,1321.86741041664,68.3182655738377,16.7314199536189,7.17602407342727,0
"ZWE",30661055486.0569,15335756.0909091,5.16424517888889,4,86.65,1988.8852852633,96.245595389361,16.5444374025947,7.55467922089423,0
